Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice
1,60,RL,65.0,8450,Pave,Reg,Lvl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,,Attchd,2003.0,RFn,2,548,208500
2,20,RL,80.0,9600,Pave,Reg,Lvl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,RFn,2,460,181500
3,60,RL,68.0,11250,Pave,IR1,Lvl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2,608,223500
4,70,RL,60.0,9550,Pave,IR1,Lvl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998.0,Unf,3,642,140000
5,60,RL,84.0,14260,Pave,IR1,Lvl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000.0,RFn,3,836,250000
6,50,RL,85.0,14115,Pave,IR1,Lvl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,,Attchd,1993.0,Unf,2,480,143000
7,20,RL,75.0,10084,Pave,Reg,Lvl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004.0,RFn,2,636,307000
8,60,RL,,10382,Pave,IR1,Lvl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973.0,RFn,2,484,200000
9,50,RM,51.0,6120,Pave,Reg,Lvl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931.0,Unf,2,468,129900
10,190,RL,50.0,7420,Pave,Reg,Lvl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939.0,RFn,1,205,118000
11,20,RL,70.0,11200,Pave,Reg,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,TA,5,Typ,0,,Detchd,1965.0,Unf,1,384,129500
12,60,RL,85.0,11924,Pave,IR1,Lvl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,345000
13,20,RL,,12968,Pave,IR2,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,912,0,0,912,1,0,1,0,2,1,TA,4,Typ,0,,Detchd,1962.0,Unf,1,352,144000
14,20,RL,91.0,10652,Pave,IR1,Lvl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,279500
15,20,RL,,10920,Pave,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,157000
16,45,RM,51.0,6120,Pave,Reg,Lvl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,854,0,0,854,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1991.0,Unf,2,576,132000
17,20,RL,,11241,Pave,IR1,Lvl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,149000
18,90,RL,72.0,10791,Pave,Reg,Lvl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,0.0,TA,TA,Slab,,,,,0,,0,0,0,GasA,TA,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,2,TA,6,Typ,0,,CarPort,1967.0,Unf,2,516,90000
19,20,RL,66.0,13695,Pave,Reg,Lvl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,,Detchd,2004.0,Unf,2,576,159000
20,20,RL,70.0,7560,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,1,TA,6,Min1,0,,Attchd,1958.0,Unf,1,294,139000
21,60,RL,101.0,14215,Pave,IR1,Lvl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,325300
22,45,RM,57.0,7449,Pave,Reg,Bnk,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,1108,0,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,139400
23,20,RL,75.0,9742,Pave,Reg,Lvl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,230000
24,120,RM,44.0,4224,Pave,Reg,Lvl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,129900
25,20,RL,,8246,Pave,IR1,Lvl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,154000
26,20,RL,110.0,14230,Pave,Reg,Lvl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,256300
27,20,RL,60.0,7200,Pave,Reg,Lvl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,1,0,3,1,Gd,5,Typ,0,,Detchd,2005.0,Unf,2,576,134800
