OverallCond,HeatingQC,GrLivArea,FullBath,BedroomAbvGr,KitchenQual,GarageCars,SalePrice
5,5,158.8628762541806,2,3,4,2,4142895.0
8,5,117.24266072092159,2,3,3,2,3606405.0
5,5,165.9234485321442,2,3,4,2,4440945.0
5,4,159.51319212188778,1,3,4,3,2781800.0
5,5,204.19918246005204,2,4,4,3,4967500.0
5,5,126.53288740245263,1,1,3,2,2841410.0
5,5,157.37643998513565,2,3,4,2,6100090.0
6,5,194.1657376439985,2,3,3,2,3974000.0
5,4,164.80862133036047,2,2,3,2,2581113.0
6,5,100.05574136008919,1,2,3,1,2344660.0
5,5,96.61835748792271,1,3,3,1,2573165.0
5,5,215.90486807878113,3,4,5,3,6855150.0
6,3,84.726867335563,1,2,3,1,2861280.0
5,5,138.7959866220736,2,3,4,3,5553665.0
5,3,116.40654031958381,1,2,3,1,3119590.0
8,5,79.338535860275,1,2,3,2,2622840.0
7,5,93.27387588257155,1,2,3,2,2960630.0
5,3,120.40133779264215,2,2,3,2,1788300.0
5,5,103.49312523225568,1,3,4,2,3159330.0
6,3,124.3961352657005,1,3,3,1,2761930.0
5,5,220.73578595317727,3,4,4,3,6463711.0
7,5,102.93571163136382,1,3,4,1,2769878.0
5,5,166.759568933482,2,3,4,2,4570100.0
7,3,98.47640282422891,1,3,3,2,2581113.0
8,5,98.47640282422891,1,3,4,1,3059980.0
5,5,148.64362690449647,2,3,4,3,5092681.0
7,3,83.61204013377927,1,3,4,2,2678476.0
5,5,158.30546265328874,2,3,4,3,6080220.0
6,3,148.64362690449647,1,2,3,1,4123025.0
6,2,48.309178743961354,1,1,2,1,1361095.0
4,3,122.35228539576366,1,3,3,1,794800.0
6,4,114.08398364920104,1,3,4,1,2967584.5
5,5,114.64139725009291,2,3,4,2,3574613.0
5,4,157.9338535860275,1,4,4,2,3288485.0
5,5,145.02043849869938,2,2,5,2,5513925.0
5,5,227.79635823114086,3,4,4,3,6139830.0
5,5,101.9137866963954,1,3,3,2,2881150.0
6,4,120.49424005945745,1,3,3,2,3040110.0
7,3,98.19769602378298,1,3,4,1,2165830.0
5,3,107.02341137123746,2,2,2,0,1629340.0
